Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
801754,The Decline of the West,Oswald Spengler,"Spengler, Oswald",H. Stuart Hughes,"=""0195066340""","=""9780195066340""",0,4.06,"Oxford University Press, USA",Paperback,492,1991,1918,,2020/11/25,"to-read, history","to-read (#392), history (#131)",to-read,,,,0,,,0,,,,,
6909059,"Was Hinduism Invented?: Britons, Indians, and the Colonial Construction of Religion",Brian K. Pennington,"Pennington, Brian K.",,"=""0195326008""","=""9780195326000""",0,4.07,"Oxford University Press, USA",Paperback,260,2007,2005,,2020/11/25,"to-read, academic, hinduism, history","to-read (#391), academic (#47), hinduism (#4), history (#130)",to-read,,,,0,,,0,,,,,
26637279,Science and Religion: East and West,Yiftach Fehige,"Fehige, Yiftach",,"=""1138961361""","=""9781138961364""",0,0.0,Routledge Chapman & Hall,Hardcover,240,2015,2016,,2020/11/25,"academic, to-read, theology","academic (#46), to-read (#390), theology (#24)",to-read,,,,0,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat, Paavo Emil Cajander","=""0743477111""","=""9780743477116""",0,3.75,Simon Schuster,Paperback,301,2004,1595,,2020/11/25,"to-read, literature","to-read (#389), literature (#15)",to-read,,,,0,,,0,,,,,
37810456,Why I am a Hindu,Shashi Tharoor,"Tharoor, Shashi",,"=""9386021102""","=""9789386021106""",0,3.73,Aleph Books,Paperback,302,2018,2018,,2020/11/25,"to-read, hinduism","to-read (#388), hinduism (#3)",to-read,,,,0,,,0,,,,,
2159387,Hindutva,V.D. Savarkar,"Savarkar, V.D.",,"=""8188388254""","=""9788188388257""",0,3.67,Hindi Sahitya Sadan,Paperback,141,2003,1923,,2020/11/25,"to-read, hinduism","to-read (#387), hinduism (#2)",to-read,,,,0,,,0,,,,,
9590808,How I Became a Hindu (Reprinted with a Postscript),Sita Ram Goel,"Goel, Sita Ram",,"=""8185990050""","=""9788185990057""",0,4.44,Voice of India,Paperback,110,,,,2020/11/25,"to-read, history","to-read (#386), history (#129)",to-read,,,,0,,,0,,,,,
1247546,Defence of Hindu Society,Sita Ram Goel,"Goel, Sita Ram",,"=""8185990247""","=""9788185990248""",0,4.50,,,118,,1983,,2020/11/25,"to-read, hinduism","to-read (#385), hinduism (#1)",to-read,,,,0,,,0,,,,,
21004273,Philosophy of Composition (in contemporary English language),Edgar Allan Poe,"Poe, Edgar Allan",Marciano Guerrero,"=""""","=""""",3,3.69,,Kindle Edition,32,2013,1846,2020/11/25,2020/11/25,literature,literature (#14),read,"Interesting -- My background is not, Literature. <br/><br/>Also, as a non-native speaker, I have taken strides to improve. For me, to become a better writer, would be to absorb solid literary writers. <br/><br/>In this work -- Poe gives outline for his philosophy of composition - Length, Method, And Unity of Effect. What I found, surprising, is for literary works, most writers had to plan ahead, every detail of their work. <br/><br/>I write poetry, when I am inspired, even though my background is in Engineering. <br/><br/>Deus Vult, <br/>Gottfried <br/><br/>",,,1,,,0,,,,,
24545240,Afghanistan: A Companion and Guide,Bijan Omrani,"Omrani, Bijan",,"=""""","=""""",0,4.21,Airphoto International,Paperback,786,2011,2005,,2020/11/25,"to-read, history","to-read (#384), history (#128)",to-read,,,,0,,,0,,,,,
141783,Emotion: A Very Short Introduction (Very Short Introductions),Dylan Evans,"Evans, Dylan",,"=""0192804618""","=""9780192804617""",0,3.59,"Oxford University Press, USA",Paperback,156,2003,2001,,2020/11/25,"to-read, artificial-intelligence, psychology","to-read (#383), artificial-intelligence (#9), psychology (#14)",to-read,,,,0,,,0,,,,,
29952688,Cognitive Neuroscience: A Very Short Introduction,Richard Passingham,"Passingham, Richard",,"=""0198786220""","=""9780198786221""",2,3.80,Oxford University Press,Paperback,144,2016,2016,2020/11/25,2020/11/25,"artificial-intelligence, computer-science, psychology","artificial-intelligence (#8), computer-science (#59), psychology (#13)",read,"A quick introductory book to Cognitive Neuroscience.<br/><br/>This book gives you a fact based approach of the brain. <br/><br/>I wasn't looking for facts about Brain. Actually, I was looking for theoretical, <br/>conceptual schools of thought. This would give me ideas to borrow, and apply in research. <br/><br/>Let me give you the outline: <br/><br/>Perceiving, <br/>Attention, <br/>Remembering, <br/>Reasoning, <br/>Deciding, <br/>Checking, <br/>Acting, <br/>The Future.<br/><br/>My favorite part of the book was, Meta-cognition, ""Think about Thinking."" <br/><br/>Educators would appreciate it. They'd like to teach students to think. In turn, they'd be enabled to be life-long learners. <br/><br/>I couldn't find answer for Raven’s Matrices, Figure 14. <br/><br/>My Answer is (2) -- Can you tell me, if it's correct? Thanks<br/><br/>Interesting that our Fluid Intelligence decreases with age.<br/><br/>Crystallized Intelligence increases, (accumulation of knowledge, experience) with age. <br/><br/>I’d suggest watching lectures of Jordan Peterson, Canadian Clinical Psychologist.<br/><br/>If you are learning about Brain, Psychology, Neuroscience, A.I Research, I'd suggest this short <br/><br/>Introduction. <br/><br/>Deus Vult, <br/>Gottfried",,,1,,,0,,,,,
2736679,In the Twilight of Western Thought,Herman Dooyeweerd,"Dooyeweerd, Herman",,"=""0934532095""","=""9780934532099""",0,4.35,,,,,1960,,2020/11/19,"to-read, christian, philosophy","to-read (#382), christian (#104), philosophy (#105)",to-read,,,,0,,,0,,,,,
1087792,"The Myth of Religious Neutrality: An Essay on the Hidden Role of Religious Belief in Theories, Revised Edition",Roy A. Clouser,"Clouser, Roy A.",,"=""0268023662""","=""9780268023669""",0,4.05,University of Notre Dame Press,Paperback,416,2005,1991,,2020/11/19,"to-read, cultures","to-read (#381), cultures (#25)",to-read,,,,0,,,0,,,,,
454000,Science and Civilization in Islam,Seyyed Hossein Nasr,"Nasr, Seyyed Hossein",,"=""1903682401""","=""9781903682401""",0,3.98,Islamic Texts Society,Paperback,404,2003,1968,,2020/11/19,"to-read, academic, islam","to-read (#380), academic (#45), islam (#9)",to-read,,,,0,,,0,,,,,
52509565,"The Courtesan, the Mahatma and the Italian Brahmin: Tales from Indian History",Manu S. Pillai,"Pillai, Manu S.",,"=""""","=""""",0,3.99,Context,Kindle Edition,398,2019,2018,,2020/11/18,"to-read, history","to-read (#379), history (#127)",to-read,,,,0,,,0,,,,,
44315749,Did Jesus Rise from the Dead?: Historical and Theological Reflections,Matthew Levering,"Levering, Matthew",,"=""""","=""""",0,5.00,OUP Oxford,Kindle Edition,322,2019,,,2020/11/18,"christian, to-read","christian (#103), to-read (#378)",to-read,,,,0,,,0,,,,,
50053432,The Decadent Society: How We Became the Victims of Our Own Success,Ross Douthat,"Douthat, Ross",,"=""1476785244""","=""9781476785240""",0,3.82,Avid Reader Press / Simon  Schuster,Hardcover,272,2020,,,2020/11/18,"to-read, cultures, politics","to-read (#377), cultures (#24), politics (#7)",to-read,,,,0,,,0,,,,,
46047632,Malevolent Republic: A Short History of New India,K.S. Komireddi,"Komireddi, K.S.",,"=""""","=""""",0,4.21,Context,Kindle Edition,242,2019,,,2020/11/18,"to-read, history, politics","to-read (#376), history (#126), politics (#6)",to-read,,,,0,,,0,,,,,
43885149,Dominion: How the Christian Revolution Remade the World,Tom Holland,"Holland, Tom",,"=""0465093507""","=""9780465093502""",0,4.19,Basic Books,Hardcover,624,2019,2019,,2020/11/17,"to-read, history","to-read (#375), history (#125)",to-read,,,,0,,,0,,,,,
9496361,Anna : The Life and Times of C.N.Annadurai,R. Kannan,"Kannan, R.",,"=""""","=""""",0,4.01,Penguin Books India,Hardcover,,2010,2010,,2020/11/17,"to-read, tamil-nadu","to-read (#374), tamil-nadu (#5)",to-read,,,,0,,,0,,,,,
658,The Kingdom of God Is Within You,Leo Tolstoy,"Tolstoy, Leo",Constance Garnett,"=""0486451380""","=""9780486451381""",0,4.11,Dover Publications,Paperback,352,2006,1893,,2020/11/17,"to-read, literature, christian","to-read (#373), literature (#13), christian (#102)",to-read,,,,0,,,0,,,,,
796506,What Computers Still Can't Do: A Critique of Artificial Reason,Hubert L. Dreyfus,"Dreyfus, Hubert L.",,"=""0262540673""","=""9780262540674""",0,4.13,MIT Press,Paperback,408,1992,1972,,2020/11/17,"to-read, artificial-intelligence, computer-science, philosophy","to-read (#372), artificial-intelligence (#7), computer-science (#58), philosophy (#104)",to-read,,,,0,,,0,,,,,
449017,Praise of Folly,Erasmus,"Erasmus, Erasmus","Betty Radice, A.H.T. Levi","=""0140446087""","=""9780140446081""",0,3.88,Penguin Classics,Paperback,256,1993,1511,,2020/11/17,"to-read, literature","to-read (#371), literature (#12)",to-read,,,,0,,,0,,,,,
44128461,"India in the Persianate Age, 1000–1765",Richard M. Eaton,"Eaton, Richard M.",,"=""0520325125""","=""9780520325128""",0,4.28,University of California Press,Hardcover,512,2019,2019,,2020/11/16,"to-read, history","to-read (#370), history (#124)",to-read,,,,0,,,0,,,,,
2858142,An Inquiry Into the Human Mind: On the Principles of Common Sense,Thomas Reid,"Reid, Thomas",,"=""0271020717""","=""9780271020716""",0,4.16,Penn State University Press,Paperback,345,2000,1764,,2020/11/16,"to-read, academic, philosophy","to-read (#369), academic (#44), philosophy (#103)",to-read,,,,0,,,0,,,,,
634197,The Analytic Theist: An Alvin Plantinga Reader,Alvin Plantinga,"Plantinga, Alvin",James F. Sennett,"=""0802842291""","=""9780802842299""",0,4.25,William B. Eerdmans Publishing Company,Paperback,388,1998,1998,,2020/11/16,"to-read, philosophy","to-read (#368), philosophy (#102)",to-read,,,,0,,,0,,,,,
496861,God and Other Minds,Alvin Plantinga,"Plantinga, Alvin",,"=""0801497353""","=""9780801497353""",0,3.91,Cornell University Press,Paperback,288,1990,1968,,2020/11/16,"to-read, academic, philosophy","to-read (#367), academic (#43), philosophy (#101)",to-read,,,,0,,,0,,,,,
174871,G.K. Chesterton: The Apostle of Common Sense,Dale Ahlquist,"Ahlquist, Dale",,"=""0898708575""","=""9780898708578""",0,4.38,Ignatius Press,Paperback,188,2003,2003,,2020/11/16,"to-read, literature","to-read (#366), literature (#11)",to-read,,,,0,,,0,,,,,
11992607,In Defense of Sanity: The Best Essays of G.K. Chesterton,G.K. Chesterton,"Chesterton, G.K.",Dale Ahlquist,"=""1586174894""","=""9781586174897""",0,4.45,Ignatius Press,Paperback,405,2011,2011,,2020/11/16,"to-read, literature","to-read (#365), literature (#10)",to-read,,,,0,,,0,,,,,
12126892,Miracles: The Credibility of the New Testament Accounts,Craig S. Keener,"Keener, Craig S.",,"=""0801039525""","=""9780801039522""",0,4.38,Baker Publishing Group,Hardcover,1172,2011,2011,,2020/11/15,"to-read, academic, christian, philosophy","to-read (#364), academic (#42), christian (#101), philosophy (#100)",to-read,,,,0,,,0,,,,,
5997808,Free Speech: A Very Short Introduction,Nigel Warburton,"Warburton, Nigel",,"=""0199232350""","=""0000199232350""",4,3.64,"Oxford University Press, USA",Paperback,115,2009,2009,2020/11/15,2020/11/15,"philosophy, politics","philosophy (#99), politics (#5)",read,"Contemporary debate on Free Speech vs Hate Speech is tangled with dogma, emotional sentiments, acrimonious arguments about religion. <br/><br/>Most of us don’t know where to draw the line. <br/><br/><b> <i> One approach would be to take, meat of this book in Chapter 2. </b> </i><br/><br/>It talks about <b>Mill’s Harm principle. </b> Concisely — Mill takes a consequentialist approach for freedom of speech i.e greater the outcome of an action ought to be chosen eg: liberty, the best idea in society would automatically win, and get to truth. Does this mean, you’d allow, “Flat Earth.” Mill says, yes — why? Because, it would not be good to silence minority view, in doing so, would be tyranny. <br/><br/>Although, I am not sure how Mill defines truth. His theory of truth, could be debate, and his premise might hinge upon it. <br/><br/>Nigel takes a tour on famous cases on Free Speech, his example on famous Holocaust denier, brought lights to me on legal rights. English Courts declared, the historian as, “Holocaust Denier.” Thus discredited his academic credentials. <br/><br/>I’d recommend reading this to anyone interested in legal laws, liberty, utilitarianism. <br/><br/>You’d spend few hours in this book. <br/><br/><i> I'd suggest work of Roger Williams on Liberty of Conscience. He was, the founder of State of Rhode Island, U.S. </i><br/><br/><br/>Nigel Recommends popular author, John Locke’s work on Toleration and John Stuart Mill’s work on Liberty. <br/><br/>Deus Vult, <br/>Gottfried",,,1,,,0,,,,,
1290316,The Adages of Erasmus,Erasmus,"Erasmus, Erasmus",,"=""0802077404""","=""9780802077400""",0,4.15,University of Toronto Press,Paperback,384,2001,1536,,2020/11/13,"to-read, literature","to-read (#363), literature (#9)",to-read,,,,0,,,0,,,,,
544818,Ancient Near Eastern Thought and the Old Testament: Introducing the Conceptual World of the Hebrew Bible,John H. Walton,"Walton, John H.",,"=""0801027500""","=""9780801027505""",0,4.21,Baker Academic,Paperback,368,2012,2006,,2020/11/08,"to-read, christian","to-read (#362), christian (#100)",to-read,,,,0,,,0,,,,,
951725,The Janissaries,Godfrey Goodwin,"Goodwin, Godfrey",,"=""0863567401""","=""9780863567407""",0,3.60,Saqi Books,Paperback,288,2006,1994,,2020/11/07,"to-read, history","to-read (#361), history (#123)",to-read,,,,0,,,0,,,,,
32773392,The Aristocracy of Southern India (Classic Reprint),A Vadivelu,"Vadivelu, A",,"=""1334002967""","=""9781334002960""",0,0.0,Forgotten Books,Paperback,254,2018,,,2020/11/07,"to-read, history","to-read (#360), history (#122)",to-read,,,,0,,,0,,,,,
2655686,The Present State of Germany,Samuel von Pufendorf,"Pufendorf, Samuel von",,"=""0865974926""","=""9780865974920""",0,4.00,Liberty Fund Inc.,Hardcover,272,2007,2007,,2020/11/07,"to-read, philosophy","to-read (#359), philosophy (#98)",to-read,,,,0,,,0,,,,,
13196775,An Introduction to the History of the Principal Kingdoms and States of Europe,Samuel von Pufendorf,"Pufendorf, Samuel von",,"=""0865975132""","=""9780865975132""",0,3.00,Liberty Fund Inc.,Paperback,768,2013,2010,,2020/11/07,to-read,to-read (#358),to-read,,,,0,,,0,,,,,
1170622,Of the Nature and Qualification of Religion in Reference to Civil Society,Samuel von Pufendorf,"Pufendorf, Samuel von",,"=""0865973717""","=""9780865973718""",0,3.33,Liberty Fund Inc.,Paperback,178,2002,2002,,2020/11/07,"to-read, philosophy","to-read (#357), philosophy (#97)",to-read,,,,0,,,0,,,,,
1037033,The Origin of the Distinction of Ranks,John Millar,"Millar, John",,"=""0865974764""","=""9780865974760""",0,3.00,Liberty Fund Inc.,Hardcover,339,2006,1986,,2020/11/07,"to-read, history","to-read (#356), history (#121)",to-read,,,,0,,,0,,,,,
21909503,"The Whole Duty of Man, According to the Law of Nature",Samuel von Pufendorf,"Pufendorf, Samuel von",,"=""1306568676""","=""9781306568678""",0,3.67,Liberty Fund,ebook,401,2014,2012,,2020/11/07,"to-read, philosophy","to-read (#355), philosophy (#96)",to-read,,,,0,,,0,,,,,
630467,God: A Guide for the Perplexed,Keith Ward,"Ward, Keith",,"=""1851683232""","=""9781851683239""",0,3.74,Oneworld Publications,Paperback,272,2003,2002,,2020/11/06,"to-read, christian","to-read (#354), christian (#99)",to-read,,,,0,,,0,,,,,
